Wikidata_URI15	FICE	College_name	State	Type	Average_salary_full_professors	Average_salary_associate_professors	Average_salary_assistant_professors	rating	Average_compensation_full_professor	Average_compensation_associate_professors	Average_compensation_assistant_professors	Average_compensation_all_ranks	Number_of_full_professors	Number_of_associate_professors	Number_of_assistant_professors	Number_of_instructors	Number_of_faculty_all_ranks	DBpedia_URI	label	label_comp	id	DBpedia_URI15	YAGO_URI15	DBpedia_URI15_Base32
http://www.wikidata.org/entity/Q1565621	1061	Alaska Pacific University	AK	IIB	454	382	362.0	382	567	485	471.0	487	6	11	9	4	32	http://dbpedia.org/resource/Alaska_Pacific_University	medium	medium	1	http://dbpedia.org/resource/Alaska_Pacific_University	http://yago-knowledge.org/resource/Alaska_Pacific_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLMMFZWWYK7KBQWG2LGNFRV6VLONF3GK4TTNF2HS===
http://www.wikidata.org/entity/Q1285262	1063	University of Alaska-Fairbanks	AK	I	686	560	432.0	508	914	753	572.0	677	74	125	118	40	404	http://dbpedia.org/resource/University_of_Alaska_Fairbanks	high	high	2	http://dbpedia.org/resource/University_of_Alaska_Fairbanks	http://yago-knowledge.org/resource/University_of_Alaska_Fairbanks	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPUC3DBONVWCX2GMFUXEYTBNZVXG===
http://www.wikidata.org/entity/Q94279	1065	University of Alaska-Southeast	AK	IIA	533	494	329.0	415	716	663	442.0	559	9	26	20	9	70	http://dbpedia.org/resource/University_of_Alaska_Southeast	medium	medium	3	http://dbpedia.org/resource/University_of_Alaska_Southeast	http://yago-knowledge.org/resource/University_of_Alaska_Southeast	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPUC3DBONVWCX2TN52XI2DFMFZXI===
http://www.wikidata.org/entity/Q1285252	11462	University of Alaska-Anchorage	AK	IIA	612	507	414.0	498	825	681	557.0	670	115	124	101	21	392	http://dbpedia.org/resource/University_of_Alaska_Anchorage	medium	high	4	http://dbpedia.org/resource/University_of_Alaska_Anchorage	http://yago-knowledge.org/resource/University_of_Alaska_Anchorage	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPUC3DBONVWCX2BNZRWQ33SMFTWK===
http://www.wikidata.org/entity/Q1698206	1004	University of Montevallo	AL	IIA	441	385	310.0	388	542	473	383.0	477	57	33	35	2	127	http://dbpedia.org/resource/University_of_Montevallo	medium	medium	5	http://dbpedia.org/resource/University_of_Montevallo	http://yago-knowledge.org/resource/University_of_Montevallo	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPU233OORSXMYLMNRXQ====
http://www.wikidata.org/entity/Q4813523	1008	Athens State College	AL	IIB	466	394	351.0	396	558	476	427.0	478	20	18	30	0	68	http://dbpedia.org/resource/Athens_State_University	medium	medium	6	http://dbpedia.org/resource/Athens_State_University	http://yago-knowledge.org/resource/Athens_State_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLUNBSW4427KN2GC5DFL5KW42LWMVZHG2LUPE======
http://www.wikidata.org/entity/Q540672	1009	Auburn University	AL	I	580	437	374.0	455	692	527	451.0	546	366	354	301	66	1109	http://dbpedia.org/resource/Auburn_University	medium	medium	7	http://dbpedia.org/resource/Auburn_University	http://yago-knowledge.org/resource/Auburn_University	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLVMJ2XE3S7KVXGS5TFOJZWS5DZ
http://www.wikidata.org/entity/Q4916871	1012	Birmingham Southern College	AL	IIB	498	379	322.0	401	655	501	404.0	523	34	25	27	3	89	http://dbpedia.org/resource/Birmingham%E2%80%93Southern_College	medium	medium	8	http://dbpedia.org/resource/Birmingham-Southern_College		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QTJOJWWS3THNBQW2LKTN52XI2DFOJXF6Q3PNRWGKZ3F
http://www.wikidata.org/entity/Q1273836	1016	University of North Alabama	AL	IIB	506	412	359.0	411	607	508	445.0	503	67	40	66	27	200	http://dbpedia.org/resource/University_of_North_Alabama	medium	medium	9	http://dbpedia.org/resource/University_of_North_Alabama	http://yago-knowledge.org/resource/University_of_North_Alabama	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VLONF3GK4TTNF2HSX3PMZPU433SORUF6QLMMFRGC3LB
http://www.wikidata.org/entity/Q11000032	1019	Huntingdon College	AL	IIB	339	303	287.0	301	421	371	347.0	366	8	15	19	2	44	http://dbpedia.org/resource/Huntingdon_College	low	low	10	http://dbpedia.org/resource/Huntingdon_College	http://yago-knowledge.org/resource/Huntingdon_College	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SDVNZ2GS3THMRXW4X2DN5WGYZLHMU======
