Wikidata_URI15	id	Company	Industry	Country	rating	Sales	Profits	Assets	Rank	DBpedia_URI	label	DBpedia_URI15	YAGO_URI15	DBpedia_URI15_Base32
http://www.wikidata.org/entity/Q26463	1	Industrial and Commercial Bank of China	Major Banks	China	237.3	134.8	37.8	2813.5	1	http://dbpedia.org/resource/Industrial_and_Commercial_Bank_of_China	high	http://dbpedia.org/resource/Industrial_and_Commercial_Bank_of_China		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SLOMR2XG5DSNFQWYX3BNZSF6Q3PNVWWK4TDNFQWYX2CMFXGWX3PMZPUG2DJNZQQ====
http://www.wikidata.org/entity/Q26299	2	China Construction Bank	Regional Banks	China	202.0	113.1	30.6	2241.0	2	http://dbpedia.org/resource/China_Construction_Bank	high	http://dbpedia.org/resource/China_Construction_Bank	http://yago-knowledge.org/resource/China_Construction_Bank	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q3INFXGCX2DN5XHG5DSOVRXI2LPNZPUEYLONM======
http://www.wikidata.org/entity/Q192314	3	JPMorgan Chase	Major Banks	United States	191.4	108.2	21.3	2359.1	3	http://dbpedia.org/resource/JPMorgan_Chase	high	http://dbpedia.org/resource/JPMorgan_Chase	http://yago-knowledge.org/resource/JPMorgan_Chase	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SSQJVXXEZ3BNZPUG2DBONSQ====
http://www.wikidata.org/entity/Q54173	4	General Electric	Conglomerates	United States	243.7	147.4	13.6	685.3	4	http://dbpedia.org/resource/General_Electric	high	http://dbpedia.org/resource/General_Electric	http://yago-knowledge.org/resource/General_Electric	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6R3FNZSXEYLML5CWYZLDORZGSYY=
	5	Exxon Mobil	Oil & Gas Operations	United States	400.4	420.7	44.9	333.8	5	http://dbpedia.org/resource/Exxon_Mobil	high	http://dbpedia.org/resource/ExxonMobil		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6RLYPBXW4TLPMJUWY===
	6	HSBC Holdings	Major Banks	United Kingdom	201.3	104.9	14.3	2684.1	6	http://dbpedia.org/resource/HSBC_Holdings	high	http://dbpedia.org/resource/HSBC		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SCTIJBQ====
http://www.wikidata.org/entity/Q154950	7	Royal Dutch Shell	Oil & Gas Operations	Netherlands	213.1	467.2	26.6	360.3	7	http://dbpedia.org/resource/Royal_Dutch_Shell	high	http://dbpedia.org/resource/Royal_Dutch_Shell	http://yago-knowledge.org/resource/Royal_Dutch_Shell	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6UTPPFQWYX2EOV2GG2C7KNUGK3DM
http://www.wikidata.org/entity/Q26298	8	Agricultural Bank of China	Regional Banks	China	150.8	103.0	23.0	2124.2	8	http://dbpedia.org/resource/Agricultural_Bank_of_China	high	http://dbpedia.org/resource/Agricultural_Bank_of_China	http://yago-knowledge.org/resource/Agricultural_Bank_of_China	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLHOJUWG5LMOR2XEYLML5BGC3TLL5XWMX2DNBUW4YI=
http://www.wikidata.org/entity/Q217583	9	Berkshire Hathaway	Investment Services	United States	252.8	162.5	14.8	427.5	9	http://dbpedia.org/resource/Berkshire_Hathaway	high	http://dbpedia.org/resource/Berkshire_Hathaway	http://yago-knowledge.org/resource/Berkshire_Hathaway	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QTFOJVXG2DJOJSV6SDBORUGC53BPE======
http://www.wikidata.org/entity/Q503182	10	PetroChina	Oil & Gas Operations	China	261.2	308.9	18.3	347.8	9	http://dbpedia.org/resource/PetroChina	high	http://dbpedia.org/resource/PetroChina	http://yago-knowledge.org/resource/PetroChina	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6UDFORZG6Q3INFXGC===
http://www.wikidata.org/entity/Q790068	11	Bank of China	Major Banks	China	131.7	98.1	22.1	2033.8	11	http://dbpedia.org/resource/Bank_of_China	high	http://dbpedia.org/resource/Bank_of_China	http://yago-knowledge.org/resource/Bank_of_China	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QTBNZVV633GL5BWQ2LOME======
http://www.wikidata.org/entity/Q744149	12	Wells Fargo	Major Banks	United States	201.3	91.2	18.9	1423.0	12	http://dbpedia.org/resource/Wells_Fargo	high	http://dbpedia.org/resource/Wells_Fargo	http://yago-knowledge.org/resource/Wells_Fargo	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6V3FNRWHGX2GMFZGO3Y=
http://www.wikidata.org/entity/Q287750	13	Chevron	Oil & Gas Operations	United States	232.5	222.6	26.2	233.0	13	http://dbpedia.org/resource/Chevron	high	http://dbpedia.org/resource/Chevron		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q3IMV3HE33O
http://www.wikidata.org/entity/Q156578	14	Volkswagen Group	Auto & Truck Manufacturers	Germany	94.4	254.0	28.6	408.2	14	http://dbpedia.org/resource/Volkswagen_Group	high	http://dbpedia.org/resource/Volkswagen_Group	http://yago-knowledge.org/resource/Volkswagen_Group	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VTPNRVXG53BM5SW4X2HOJXXK4A=
http://www.wikidata.org/entity/Q89	15	Apple	Computer Hardware	United States	416.6	164.7	41.7	196.1	15	http://dbpedia.org/resource/Apple	high	http://dbpedia.org/resource/Apple		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QLQOBWGK===
	16	Wal-Mart Stores	Discount Stores	United States	242.5	469.2	17.0	203.1	15	http://dbpedia.org/resource/Wal-Mart_Stores	high	http://dbpedia.org/resource/Walmart		NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6V3BNRWWC4TU
http://www.wikidata.org/entity/Q102673	17	Gazprom	Oil & Gas Operations	Russia	111.4	144.0	40.6	339.3	17	http://dbpedia.org/resource/Gazprom	high	http://dbpedia.org/resource/Gazprom	http://yago-knowledge.org/resource/Gazprom	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6R3BPJYHE33N
http://www.wikidata.org/entity/Q152057	18	BP	Oil & Gas Operations	United Kingdom	130.4	370.9	11.6	301.0	18	http://dbpedia.org/resource/BP	high	http://dbpedia.org/resource/BP	http://yago-knowledge.org/resource/BP	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QSQ
http://www.wikidata.org/entity/Q219508	19	Citigroup	Major Banks	United States	143.6	90.7	7.5	1864.7	19	http://dbpedia.org/resource/Citigroup	high	http://dbpedia.org/resource/Citigroup	http://yago-knowledge.org/resource/Citigroup	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6Q3JORUWO4TPOVYA====
http://www.wikidata.org/entity/Q210047	20	Petrobras	Oil & Gas Operations	Brazil	120.7	144.1	11.0	331.6	20	http://dbpedia.org/resource/Petrobras	high	http://dbpedia.org/resource/Petrobras	http://yago-knowledge.org/resource/Petrobras	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6UDFORZG6YTSMFZQ====
http://www.wikidata.org/entity/Q20718	21	Samsung Electronics	Semiconductors	South Korea	174.4	187.8	21.7	196.3	20	http://dbpedia.org/resource/Samsung_Electronics	high	http://dbpedia.org/resource/Samsung_Electronics	http://yago-knowledge.org/resource/Samsung_Electronics	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3BNVZXK3THL5CWYZLDORZG63TJMNZQ====
