Wikidata_URI15	id	album	artist	date	rating	DBpedia_URI	label	DBpedia_URI15	YAGO_URI15	DBpedia_URI15_Base32
http://www.wikidata.org/entity/Q7913484	1.0	Van Lear Rose	Loretta Lynn	27-Apr-04	97.0	http://dbpedia.org/resource/Van_Lear_Rose	good	http://dbpedia.org/resource/Van_Lear_Rose	http://yago-knowledge.org/resource/Van_Lear_Rose	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6VTBNZPUYZLBOJPVE33TMU======
http://www.wikidata.org/entity/Q1036873	2.0	Histoire de Melody Nelson	Serge Gainsbourg	24-Mar-09	96.0	http://dbpedia.org/resource/Histoire_de_Melody_Nelson	good	http://dbpedia.org/resource/Histoire_de_Melody_Nelson	http://yago-knowledge.org/resource/Histoire_de_Melody_Nelson	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6SDJON2G62LSMVPWIZK7JVSWY33EPFPU4ZLMONXW4===
http://www.wikidata.org/entity/Q378166	3.0	Stankonia	Outkast	31-Oct-00	95.0	http://dbpedia.org/resource/Stankonia	good	http://dbpedia.org/resource/Stankonia	http://yago-knowledge.org/resource/Stankonia	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3UMFXGW33ONFQQ====
http://www.wikidata.org/entity/Q547624	4.0	My Beautiful Dark Twisted Fantasy	Kanye West	22-Nov-10	94.0	http://dbpedia.org/resource/My_Beautiful_Dark_Twisted_Fantasy	good	http://dbpedia.org/resource/My_Beautiful_Dark_Twisted_Fantasy	http://yago-knowledge.org/resource/My_Beautiful_Dark_Twisted_Fantasy	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TLZL5BGKYLVORUWM5LML5CGC4TLL5KHO2LTORSWIX2GMFXHIYLTPE======
http://www.wikidata.org/entity/Q3474454	5.0	Savane	Ali Farka Toure	25-Jul-06	94.0	http://dbpedia.org/resource/Savane_(album)	good	http://dbpedia.org/resource/Savane_(album)	http://yago-knowledge.org/resource/Savane_(album)	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6U3BOZQW4ZK7FBQWYYTVNUUQ====
http://www.wikidata.org/entity/Q6652026	6.0	Dolly	Dolly Parton	26-Oct-09	93.0	http://dbpedia.org/resource/Little_Sparrow	good	http://dbpedia.org/resource/Little_Sparrow	http://yago-knowledge.org/resource/Little_Sparrow	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TDJOR2GYZK7KNYGC4TSN53Q====
http://www.wikidata.org/entity/Q1990678	7.0	Live At Reading	Nirvana	3-Nov-09	93.0	http://dbpedia.org/resource/Live_at_Reading	good	http://dbpedia.org/resource/Live_at_Reading	http://yago-knowledge.org/resource/Live_at_Reading	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TDJOZSV6YLUL5JGKYLENFXGO===
http://www.wikidata.org/entity/Q2333298	8.0	Madvillainy	Madvillain	23-Mar-04	93.0	http://dbpedia.org/resource/Madvillainy	good	http://dbpedia.org/resource/Madvillainy	http://yago-knowledge.org/resource/Madvillainy	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6TLBMR3GS3DMMFUW46I=
http://www.wikidata.org/entity/Q7091383	9.0	On the Impossible Past	The Menzingers	21-Feb-12	93.0	http://dbpedia.org/resource/On_the_Impossible_Past	good	http://dbpedia.org/resource/On_the_Impossible_Past	http://yago-knowledge.org/resource/On_the_Impossible_Past	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6T3OL52GQZK7JFWXA33TONUWE3DFL5IGC43U
http://www.wikidata.org/entity/Q252406	10.0	Boy In Da Corner	Dizzee Rascal	20-Jan-04	92.0	http://dbpedia.org/resource/Boy_in_da_Corner	good	http://dbpedia.org/resource/Boy_in_da_Corner	http://yago-knowledge.org/resource/Boy_in_da_Corner	NB2HI4B2F4XWIYTQMVSGSYJON5ZGOL3SMVZW65LSMNSS6QTPPFPWS3S7MRQV6Q3POJXGK4Q=
